year,gender,simulated_service_demand
2021,F,24733
2021,M,28333
2020,M,26769
2020,F,23793
2019,M,28081
2019,F,24665
2018,M,28243
2018,F,24582
2017,M,28787
2017,F,25178
2016,M,29404
2016,F,25454
2015,M,29536
2015,F,25247
2014,M,29892
2014,F,25373
2013,M,29342
2013,F,25369
2012,M,29635
2012,F,25409
2011,F,25533
2011,M,29992
2010,F,25552
2010,M,29999
2009,M,31043
2009,F,26233
2008,M,32013
2008,F,27212
2007,M,32820
2007,F,27750
2006,M,32903
2006,F,28419
2005,M,32850
2005,F,28486
2004,M,34015
2004,F,29301
2003,M,35102
2003,F,30202
2002,M,35504
2002,F,30674
2001,M,35576
2001,F,31456
